Date,Open,High,Low,Close,Volume
2020-01-02,5.9283346184940875,5.9571380615234375,5.87792847479062,5.9571380615234375,237536000
2020-01-03,5.837701968795054,5.905490008291012,5.812871155604805,5.861787796020508,205384000
2020-01-06,5.768671412731947,5.891583178596287,5.742599277379908,5.886368751525879,262636000
2020-01-07,5.914678168348962,6.003323936985491,5.869734620146879,5.957635402679443,314856000
2020-01-08,5.953414487196314,6.010028698405144,5.913437194886444,5.968809604644775,277108000
2020-01-09,6.054969947829537,6.106617880822172,5.980726162554703,6.034360408782959,255112000
2020-01-10,6.141381945898443,6.171675359974287,6.052488017299634,6.066641330718994,316296000
2020-01-13,6.149575543562408,6.281923026165789,6.12697921604719,6.2568440437316895,319840000
2020-01-14,6.214135205399541,6.239462833086717,6.126979427600585,6.140140056610107,359088000
2020-01-15,6.152802880546791,6.175150562579818,6.071854694268641,6.0976786613464355,263104000
2020-01-16,6.151064667582227,6.187069318624034,6.127723829176326,6.18110990524292,284192000
2020-01-17,6.200230072148521,6.207679457997126,6.1423745488552575,6.189801216125488,253792000
2020-01-21,6.15330035826598,6.1900499995595695,6.122510131063469,6.156528472900391,217916000
2020-01-22,6.201720834154756,6.296822351590504,6.182849433154044,6.210411548614502,239240000
2020-01-23,6.250388482356197,6.287137649039151,6.161742732978473,6.278695106506348,244516000
2020-01-24,6.393909849337127,6.443571474503476,6.165467226066961,6.219598293304443,373512000
2020-01-27,5.91566936319543,6.015240772317174,5.766436808495874,5.9643378257751465,470536000
2020-01-28,6.030140227168706,6.189553496525558,5.977002312846959,6.157273769378662,310976000
2020-01-29,6.142872452573034,6.178877113475648,6.0572061577627805,6.096935749053955,258848000
2020-01-30,5.999350082914366,6.117047926796072,5.944474498630881,6.103639125823975,290504000
2020-01-31,6.05795012762334,6.069868955650473,5.8290111609015804,5.870726585388184,370420000
2020-02-03,5.852599491380816,5.9869337514197865,5.846391907308291,5.967566013336182,255564000
2020-02-04,6.109102961892305,6.15553648227727,6.059193155429683,6.136416435241699,271544000
2020-02-05,6.257093597361398,6.267274284490505,6.143368843165741,6.2265520095825195,208220000
2020-02-06,6.260817558047638,6.3132100105285645,6.179869362419789,6.3132100105285645,218284000
2020-02-07,6.273233053761534,6.2953325687371064,6.221833281757143,6.247160911560059,189752000
2020-02-10,6.269755839509713,6.530478170125203,6.264789582604499,6.529733657836914,529608000
2020-02-11,6.637746980573556,6.766370000222853,6.575918362337463,6.651900291442871,638556000
2020-02-12,6.70454318700568,6.773821209071166,6.665807226145709,6.767364978790283,374644000
2020-02-13,6.709509062531158,6.790705436408653,6.6821951180236105,6.723662376403809,528016000
2020-02-14,7.132871241875488,7.324316034279077,7.1015846769682796,7.195693016052246,1041924000
2020-02-18,7.092646240797741,7.382421154368142,7.073278500086372,7.364046096801758,620164000
2020-02-19,7.486213518147479,7.831857176120988,7.486213518147479,7.814227104187012,694332000
2020-02-20,7.766306005133771,7.854454965680768,7.35858544923678,7.665245056152344,810052000
2020-02-21,7.553255678868156,7.5783346604286,7.217295931211192,7.301968574523926,768180000
2020-02-24,6.709012487828229,6.999035609686193,6.654633241281441,6.785739421844482,856916000
2020-02-25,6.8607273723321756,6.9225559983296225,6.405332082047458,6.506889820098877,1055496000
2020-02-26,6.507137545574785,6.8396210206918395,6.505648047340765,6.645941257476807,747732000
2020-02-27,6.333136621915026,6.633768307386428,6.183814767032639,6.275991916656494,906416000
2020-02-28,6.024057286664083,6.769424425321909,6.007410894172658,6.710043430328369,1133252000
2020-03-02,6.879738226215909,6.896881729577299,6.484693639055509,6.86806058883667,890744000
2020-03-03,6.923715128015333,6.983344439079889,6.520968366746117,6.606188774108887,652792000
2020-03-04,6.713272364670828,7.0782537123650755,6.63873537880808,7.068812370300293,597408000
2020-03-05,6.869801250527407,7.036266618537501,6.745573378098731,6.7900471687316895,540328000
2020-03-06,6.610909007237286,6.668302495799002,6.410156667714396,6.609915256500244,515412000
2020-03-09,5.960450313330699,6.444938965658678,5.917716200363883,6.098094940185547,614160000
2020-03-10,6.373883391447351,6.486682415008545,6.1117629836396725,6.486682415008545,580648000
2020-03-11,6.347049964055862,6.375373996903059,6.026790637877311,6.123688220977783,499964000
2020-03-12,5.601683509592118,5.86653734889985,5.36167534133843,5.374346733093262,816540000
2020-03-13,5.72690287758895,5.9882782480355425,5.4563349584280525,5.983806133270264,634836000
2020-03-16,5.277446158270043,5.617582281021413,4.820039414726194,4.879668712615967,726972000
2020-03-17,4.991722819638062,5.487392094987451,4.745503441439184,5.398196220397949,833632000
2020-03-18,4.971597639823064,5.216077814958566,4.489096905227361,5.039177417755127,874268000
2020-03-19,5.017812074847171,5.384781510391298,4.804885885483796,5.291362285614014,765512000
2020-03-20,5.441180167876771,5.72243203505823,5.096572300669886,5.111976623535156,804636000
2020-03-23,5.11098266460325,5.378569879183568,4.932343026928404,5.284404754638672,643876000
2020-03-24,5.689635972329596,6.277482494566809,5.666032849202426,6.191019535064697,1101644000
2020-03-25,6.305806086188471,6.505067588828619,6.053871996434698,6.102569580078125,793432000
2020-03-26,6.309285501794354,6.515007130167915,6.211394153610367,6.3912763595581055,696108000
2020-03-27,6.211392945580001,6.53736691560444,6.178596798409605,6.279221534729004,638828000
2020-03-30,6.344564958091358,6.607928356954407,6.300588285202859,6.598735332489014,602252000
2020-03-31,6.638735329642442,6.842469377045188,6.403944797391366,6.549291610717773,949960000
2020-04-01,6.351770816048918,6.497862621026077,5.994739866838938,6.039213180541992,656912000
2020-04-02,6.068283026061286,6.360467128266359,6.020331344319397,6.347299098968506,675764000
2020-04-03,6.309782161502397,6.351274225977668,5.9229367585123605,6.060084342956543,663212000
2020-04-06,6.3415828201352085,6.705322110168501,6.284189334359252,6.668550491333008,727884000
2020-04-07,6.889676590192596,6.913280185472903,6.392765179884151,6.435748100280762,784520000
2020-04-08,6.54457162490278,6.6573706324645965,6.474755537698199,6.6325249671936035,542444000
2020-04-09,6.757996129395736,6.780853821789025,6.470284155436127,6.533143520355225,525564000
2020-04-13,6.47351356124016,6.7132733578706585,6.385311898450525,6.704577445983887,398408000
2020-04-14,6.832533113439113,7.0889393446446505,6.804954510071242,7.054901123046875,530948000
2020-04-15,6.887190767469019,7.060364488674328,6.841972034206441,6.977628707885742,366148000
2020-04-16,7.132667432102956,7.428826534022673,7.1194994029854035,7.321990489959717,745620000
2020-04-17,7.403980004345366,7.425347305451841,7.129188237967692,7.262857437133789,539120000
2020-04-20,7.136641723005758,7.2921748539610265,7.087695825238775,7.13192081451416,449388000
2020-04-21,7.014153273806916,7.075272975745173,6.636500486196766,6.69612979888916,735160000
2020-04-22,6.887937472455997,7.152294614390537,6.842470411605959,7.109560012817383,483356000
2020-04-23,7.151547701059466,7.283228895452296,7.031294875426273,7.056388854980469,424160000
2020-04-24,7.046204988864382,7.197017237436438,6.971667981991772,7.1950297355651855,352328000
2020-04-27,7.32919543452104,7.540631210935533,7.30459808693572,7.381122589111328,479388000
2020-04-28,7.528207409397369,7.558022301469902,7.233539222714368,7.239005088806152,442904000
2020-04-29,7.373420867111231,7.468082631149315,7.298387223684967,7.415410041809082,379160000
2020-04-30,7.361493734355101,7.4154088591523335,7.247949773360715,7.2618632316589355,375916000
2020-05-01,7.064836752511146,7.177884061945368,6.97762885516998,7.025829315185547,342096000
2020-05-04,6.978624046997186,7.250931680845557,6.978624046997186,7.237266540527344,317556000
2020-05-05,7.3411220220379825,7.460380664354772,7.237267230059776,7.2981390953063965,368896000
2020-05-06,7.37739587501728,7.503362917200423,7.339630499507867,7.3987627029418945,323464000
2020-05-07,7.5376498918987815,7.637777522329543,7.486468166152815,7.57466983795166,373732000
2020-05-08,7.646224657266343,7.770452516763413,7.612434759096941,7.7642412185668945,339216000
2020-05-11,7.759272663656854,8.062388970419114,7.730700310360557,8.015679359436035,469060000
2020-05-12,8.073320229167217,8.12201733914419,7.744613315147592,7.754302978515625,493060000
2020-05-13,7.868593117853469,8.028598386935984,7.5478366741451675,7.731942653656006,625852000
2020-05-14,7.793313502331367,7.986363772010875,7.640016124167071,7.980897903442383,602312000
2020-05-15,7.841015060461227,8.447992184242215,7.825362416366955,8.438302993774414,987660000
2020-05-18,8.706386193673236,8.861422715441426,8.626880430887004,8.696199417114258,774460000
2020-05-19,8.735952164581962,9.031365836913162,8.70862188133378,8.751108169555664,717320000
2020-05-20,8.935461023510964,8.987139854918718,8.833842543023762,8.914590835571289,587536000
2020-05-21,8.995590944598801,8.996584221867831,8.683530333281945,8.721047401428223,761068000
2020-05-22,8.770736577917994,9.03683343600463,8.659428881177773,8.970495223999023,1038764000
2020-05-26,9.100188817327473,9.125034961912307,8.618433305062045,8.663900375366211,770780000
2020-05-27,8.57172096969217,8.579422656009472,7.947351723829937,8.472587585449219,1175892000
2020-05-28,8.360284982055731,8.706384140840894,8.327488838944653,8.434574127197266,734896000
2020-05-29,8.501659484403891,8.820676803588867,8.432588808088804,8.820676803588867,745256000
2020-06-01,8.778684720302685,8.786138087525295,8.63582251257563,8.751851081848145,389876000
2020-06-02,8.741913641016255,8.782659789629411,8.604517298064136,8.770733833312988,391320000
2020-06-03,8.767752949429001,8.811480823540192,8.646257567101596,8.715328216552734,365440000
2020-06-04,8.678042483302525,8.892060453501106,8.627831617947038,8.716322898864746,424280000
2020-06-05,8.744162772614692,8.945503105070232,8.658157710663906,8.86894416809082,481748000
2020-06-08,8.826444074139427,8.838872345386097,8.636040341563438,8.754608154296875,387736000
2020-06-09,8.749631339266706,9.057608018513038,8.701160447107585,8.994222640991211,468488000
2020-06-10,9.115279467841278,9.44562750483646,9.101110275596922,9.313139915466309,632180000
2020-06-11,9.097627526364212,9.208240685971829,8.735711592301131,8.745903015136719,583652000
2020-06-12,9.11005648138736,9.134664575727575,8.653434667947968,8.881372451782227,570908000
2020-06-15,8.764794924642382,9.129693970720945,8.69370339239362,9.12124252319336,400004000
2020-06-16,9.172198011090448,9.213708995508652,8.788158348881796,9.016592979431152,535716000
2020-06-17,9.061587984964056,9.245777040629367,9.018336061726147,9.183137893676758,408304000
2020-06-18,9.174188600931451,9.229370971612544,9.062332316008169,9.165240287780762,254408000
2020-06-19,9.189599539573098,9.39093989515145,9.174436620303387,9.20824146270752,524160000
2020-06-22,9.246771661468518,9.476697912993025,9.220174203686891,9.472223281860352,398468000
2020-06-23,9.496332960119092,9.587309525836865,9.353654927459205,9.39591121673584,375108000
2020-06-24,9.422012461612931,9.501803887247242,9.092161313313138,9.18264102935791,449372000
2020-06-25,9.302203828855783,9.450599648847081,9.129696769818231,9.435685157775879,376072000
2020-06-26,9.445625718185534,9.445625718185534,9.072772071415052,9.10260009765625,592084000
2020-06-29,9.117266222856149,9.151817312552694,8.849059572517856,9.147342681884766,342248000
2020-06-30,9.260692369521378,9.471727334858345,9.21346457243952,9.443390846252441,367892000
2020-07-01,9.466257584270018,9.520943092607503,9.359124357158036,9.475454330444336,326648000
2020-07-02,9.583830317693366,9.681766795044908,9.52342801780693,9.557233810424805,364056000
2020-07-06,9.685992386533162,9.852036371881187,9.656909656197096,9.782934188842773,315892000
2020-07-07,9.889322168841927,10.01236361484961,9.79436877481935,9.815248489379883,357800000
2020-07-08,9.93654906253505,10.166476230955992,9.908461013084509,10.157526969909668,365480000
2020-07-09,10.32083863746605,10.509502323054798,10.17492811323484,10.448851585388184,494548000
2020-07-10,10.528144672391011,10.594263768223163,10.319346579441985,10.419271469116211,497676000
2020-07-13,10.534357598250097,10.730478013100093,9.967619466000675,9.99471378326416,457076000
2020-07-14,10.017334456489614,10.343208748675954,9.729491205941963,10.317605972290039,542676000
2020-07-15,10.354643532436837,10.373285456655864,9.9981949595581,10.168713569641113,403984000
2020-07-16,9.957678504058652,10.148330579277705,9.838862314759108,10.076743125915527,344964000
2020-07-17,10.166974986746677,10.189843112280766,10.030013717920978,10.143112182617188,266284000
2020-07-20,10.215447714331768,10.470976803368382,10.098619895232963,10.450593948364258,284852000
2020-07-21,10.452825224050619,10.499557085377687,10.227870537311848,10.269381523132324,277036000
2020-07-22,10.308161365872728,10.541815989518545,10.23259614351377,10.379003524780273,367292000
2020-07-23,10.390189182924372,10.486634124309322,9.973836090293624,10.071772575378418,411660000
2020-07-24,9.818479092225905,10.305425850353402,9.721040433377166,10.136150360107422,473292000
2020-07-27,10.173685827717728,10.38198611518215,10.159268204168063,10.361852645874023,292132000
2020-07-28,10.31487200985098,10.322577211722987,10.150816447226648,10.15703010559082,271636000
2020-07-29,10.331277485949975,10.456058901678837,10.287778082878747,10.405599594116211,284508000
2020-07-30,10.31561792819607,10.562198626174778,10.23632432247183,10.553250312805176,308880000
2020-07-31,10.502788631136903,10.704876167416607,10.373284166869748,10.553994178771973,386080000
2020-08-03,10.67107288009153,11.03522669529022,10.653921549349986,10.947233200073242,412720000
2020-08-04,10.986754217813543,11.16348648071289,10.843578365613316,11.16348648071289,310336000
2020-08-05,11.179644171241007,11.306662426415594,11.102338977036846,11.222148895263672,249924000
2020-08-06,11.284788588104904,11.292991603889252,11.114767787246265,11.270620346069336,244316000
2020-08-07,11.247750090326356,11.438899949925162,10.974324500566038,11.135396957397461,342516000
2020-08-10,11.269378890384155,11.342954759845608,10.79436251780805,11.101097106933594,427796000
2020-08-11,11.010367521177148,11.073007607753555,10.733958811085435,10.787899017333984,354512000
2020-08-12,10.927842871271675,11.40136666941188,10.895528625086735,11.374770164489746,464412000
